Command line: ['16.py']
Total duration: 23.3386s
File: 16.py
File duration: 23.3381s (100.00%)
Line #|      Hits|         Time| Time per hit|      %|Source code
(call)|         1|            0|            0|  0.00%|# C:\Python36-32\lib\codecs.py:259 __init__
    33|         1|   0.00100064|   0.00100064|  0.00%|    input = file.readline().strip().split(",")
(call)|         6|            0|            0|  0.00%|# C:\Python36-32\lib\codecs.py:280 getstate
(call)|         6|            0|            0|  0.00%|# C:\Python36-32\lib\encodings\cp1250.py:22 decode
    34|         0|            0|            0|  0.00%|
    35|         1|            0|            0|  0.00%|  input = processInput(input)
(call)|         1|     0.401269|     0.401269|  1.72%|# 16.py:1 processInput
    36|         0|            0|            0|  0.00%|
    37|         1|            0|            0|  0.00%|  count = 16
    38|         1|            0|            0|  0.00%|  progs = []
    39|        17|  0.000499725|  2.93956e-05|  0.00%|  for i in range(count):
    40|        16|            0|            0|  0.00%|    progs.append(chr(ord("a")+i))
    41|         0|            0|            0|  0.00%|
    42|         1|            0|            0|  0.00%|  print("".join(progs))
    43|         0|            0|            0|  0.00%|
    44|         0|            0|            0|  0.00%|  # Part 1
    45|         1|            0|            0|  0.00%|  progs1 = dance(progs[:], input)
(call)|         1|     0.422782|     0.422782|  1.81%|# 16.py:16 dance
    46|         1|            0|            0|  0.00%|  print("".join(progs1))
    47|         0|            0|            0|  0.00%|
    48|         0|            0|            0|  0.00%|  # Part 2
    49|         0|            0|            0|  0.00%|  # progs2 = progs1[:]
    50|         0|            0|            0|  0.00%|  # targetIndices = progs[:]
    51|         0|            0|            0|  0.00%|  # for i in range(count):
    52|         0|            0|            0|  0.00%|    # targetIndices[i] = progs1.index(targetIndices[i])
    53|         0|            0|            0|  0.00%|
    54|         0|            0|            0|  0.00%|  # # Repeat dances.
    55|         0|            0|            0|  0.00%|  # for nDances in range(1):
    56|         0|            0|            0|  0.00%|    # progs2New = progs2[:]
    57|         0|            0|            0|  0.00%|    # for i in range(count):
    58|         0|            0|            0|  0.00%|      # progs2New[i] = progs2[targetIndices[i]]
    59|         0|            0|            0|  0.00%|    # print(targetIndices)
    60|         0|            0|            0|  0.00%|    # progs2 = progs2New
    61|         0|            0|            0|  0.00%|
    62|         0|            0|            0|  0.00%|  # print("".join(progs2))
    63|         0|            0|            0|  0.00%|  # progs3 = dance(progs1[:], input)
    64|         0|            0|            0|  0.00%|  # print("".join(progs3))
    65|         0|            0|            0|  0.00%|
    66|         1|            0|            0|  0.00%|  progs2 = progs[:]
    67|        51|  0.000499964|  9.80321e-06|  0.00%|  for i in range(50):
    68|        50|  0.000500441|  1.00088e-05|  0.00%|    progs2 = dance(progs2[:], input)
(call)|        50|      22.5111|     0.450221| 96.45%|# 16.py:16 dance
    69|         0|            0|            0|  0.00%|
    70|         1|            0|            0|  0.00%|  print("".join(progs2))
    71|         0|            0|            0|  0.00%|
    72|         0|            0|            0|  0.00%|
    73|         0|            0|            0|  0.00%|
    74|         1|            0|            0|  0.00%|if (__name__ == "__main__"):
    75|         1|            0|            0|  0.00%|  main()
(call)|         1|      23.3376|      23.3376|100.00%|# 16.py:31 main
File: C:\Python36-32\lib\codecs.py
File duration: 0s (0.00%)
Line #|      Hits|         Time| Time per hit|      %|Source code
------+----------+-------------+-------------+-------+-----------
     1|         0|            0|            0|  0.00%|""" codecs -- Python Codec Registry, API and helpers.
     2|         0|            0|            0|  0.00%|
     3|         0|            0|            0|  0.00%|
     4|         0|            0|            0|  0.00%|Written by Marc-Andre Lemburg (mal@lemburg.com).
     5|         0|            0|            0|  0.00%|
     6|         0|            0|            0|  0.00%|(c) Copyright CNRI, All Rights Reserved. NO WARRANTY.
     7|         0|            0|            0|  0.00%|
     8|         0|            0|            0|  0.00%|"""#"
     9|         0|            0|            0|  0.00%|
    10|         0|            0|            0|  0.00%|import builtins, sys
    11|         0|            0|            0|  0.00%|
    12|         0|            0|            0|  0.00%|### Registry and builtin stateless codec functions
    13|         0|            0|            0|  0.00%|
    14|         0|            0|            0|  0.00%|try:
    15|         0|            0|            0|  0.00%|    from _codecs import *
    16|         0|            0|            0|  0.00%|except ImportError as why:
    17|         0|            0|            0|  0.00%|    raise SystemError('Failed to load the builtin codecs: %s' % why)
    18|         0|            0|            0|  0.00%|
    19|         0|            0|            0|  0.00%|__all__ = ["register", "lookup", "open", "EncodedFile", "BOM", "BOM_BE",
    20|         0|            0|            0|  0.00%|           "BOM_LE", "BOM32_BE", "BOM32_LE", "BOM64_BE", "BOM64_LE",
    21|         0|            0|            0|  0.00%|           "BOM_UTF8", "BOM_UTF16", "BOM_UTF16_LE", "BOM_UTF16_BE",
    22|         0|            0|            0|  0.00%|           "BOM_UTF32", "BOM_UTF32_LE", "BOM_UTF32_BE",
    23|         0|            0|            0|  0.00%|           "CodecInfo", "Codec", "IncrementalEncoder", "IncrementalDecoder",
    24|         0|            0|            0|  0.00%|           "StreamReader", "StreamWriter",
    25|         0|            0|            0|  0.00%|           "StreamReaderWriter", "StreamRecoder",
    26|         0|            0|            0|  0.00%|           "getencoder", "getdecoder", "getincrementalencoder",
    27|         0|            0|            0|  0.00%|           "getincrementaldecoder", "getreader", "getwriter",
    28|         0|            0|            0|  0.00%|           "encode", "decode", "iterencode", "iterdecode",
    29|         0|            0|            0|  0.00%|           "strict_errors", "ignore_errors", "replace_errors",
    30|         0|            0|            0|  0.00%|           "xmlcharrefreplace_errors",
    31|         0|            0|            0|  0.00%|           "backslashreplace_errors", "namereplace_errors",
    32|         0|            0|            0|  0.00%|           "register_error", "lookup_error"]
    33|         0|            0|            0|  0.00%|
    34|         0|            0|            0|  0.00%|### Constants
    35|         0|            0|            0|  0.00%|
    36|         0|            0|            0|  0.00%|#
    37|         0|            0|            0|  0.00%|# Byte Order Mark (BOM = ZERO WIDTH NO-BREAK SPACE = U+FEFF)
    38|         0|            0|            0|  0.00%|# and its possible byte string values
    39|         0|            0|            0|  0.00%|# for UTF8/UTF16/UTF32 output and little/big endian machines
    40|         0|            0|            0|  0.00%|#
    41|         0|            0|            0|  0.00%|
    42|         0|            0|            0|  0.00%|# UTF-8
    43|         0|            0|            0|  0.00%|BOM_UTF8 = b'\xef\xbb\xbf'
    44|         0|            0|            0|  0.00%|
    45|         0|            0|            0|  0.00%|# UTF-16, little endian
    46|         0|            0|            0|  0.00%|BOM_LE = BOM_UTF16_LE = b'\xff\xfe'
    47|         0|            0|            0|  0.00%|
    48|         0|            0|            0|  0.00%|# UTF-16, big endian
    49|         0|            0|            0|  0.00%|BOM_BE = BOM_UTF16_BE = b'\xfe\xff'
    50|         0|            0|            0|  0.00%|
    51|         0|            0|            0|  0.00%|# UTF-32, little endian
    52|         0|            0|            0|  0.00%|BOM_UTF32_LE = b'\xff\xfe\x00\x00'
    53|         0|            0|            0|  0.00%|
    54|         0|            0|            0|  0.00%|# UTF-32, big endian
    55|         0|            0|            0|  0.00%|BOM_UTF32_BE = b'\x00\x00\xfe\xff'
    56|         0|            0|            0|  0.00%|
    57|         0|            0|            0|  0.00%|if sys.byteorder == 'little':
    58|         0|            0|            0|  0.00%|
    59|         0|            0|            0|  0.00%|    # UTF-16, native endianness
    60|         0|            0|            0|  0.00%|    BOM = BOM_UTF16 = BOM_UTF16_LE
    61|         0|            0|            0|  0.00%|
    62|         0|            0|            0|  0.00%|    # UTF-32, native endianness
    63|         0|            0|            0|  0.00%|    BOM_UTF32 = BOM_UTF32_LE
    64|         0|            0|            0|  0.00%|
    65|         0|            0|            0|  0.00%|else:
    66|         0|            0|            0|  0.00%|
    67|         0|            0|            0|  0.00%|    # UTF-16, native endianness
    68|         0|            0|            0|  0.00%|    BOM = BOM_UTF16 = BOM_UTF16_BE
    69|         0|            0|            0|  0.00%|
    70|         0|            0|            0|  0.00%|    # UTF-32, native endianness
    71|         0|            0|            0|  0.00%|    BOM_UTF32 = BOM_UTF32_BE
    72|         0|            0|            0|  0.00%|
    73|         0|            0|            0|  0.00%|# Old broken names (don't use in new code)
    74|         0|            0|            0|  0.00%|BOM32_LE = BOM_UTF16_LE
    75|         0|            0|            0|  0.00%|BOM32_BE = BOM_UTF16_BE
    76|         0|            0|            0|  0.00%|BOM64_LE = BOM_UTF32_LE
    77|         0|            0|            0|  0.00%|BOM64_BE = BOM_UTF32_BE
    78|         0|            0|            0|  0.00%|
    79|         0|            0|            0|  0.00%|
    80|         0|            0|            0|  0.00%|### Codec base classes (defining the API)
    81|         0|            0|            0|  0.00%|
    82|         0|            0|            0|  0.00%|class CodecInfo(tuple):
    83|         0|            0|            0|  0.00%|    """Codec details when looking up the codec registry"""
    84|         0|            0|            0|  0.00%|
    85|         0|            0|            0|  0.00%|    # Private API to allow Python 3.4 to blacklist the known non-Unicode
    86|         0|            0|            0|  0.00%|    # codecs in the standard library. A more general mechanism to
    87|         0|            0|            0|  0.00%|    # reliably distinguish test encodings from other codecs will hopefully
    88|         0|            0|            0|  0.00%|    # be defined for Python 3.5
    89|         0|            0|            0|  0.00%|    #
    90|         0|            0|            0|  0.00%|    # See http://bugs.python.org/issue19619
    91|         0|            0|            0|  0.00%|    _is_text_encoding = True # Assume codecs are text encodings by default
    92|         0|            0|            0|  0.00%|
    93|         0|            0|            0|  0.00%|    def __new__(cls, encode, decode, streamreader=None, streamwriter=None,
    94|         0|            0|            0|  0.00%|        incrementalencoder=None, incrementaldecoder=None, name=None,
    95|         0|            0|            0|  0.00%|        *, _is_text_encoding=None):
    96|         0|            0|            0|  0.00%|        self = tuple.__new__(cls, (encode, decode, streamreader, streamwriter))
    97|         0|            0|            0|  0.00%|        self.name = name
    98|         0|            0|            0|  0.00%|        self.encode = encode
    99|         0|            0|            0|  0.00%|        self.decode = decode
   100|         0|            0|            0|  0.00%|        self.incrementalencoder = incrementalencoder
   101|         0|            0|            0|  0.00%|        self.incrementaldecoder = incrementaldecoder
   102|         0|            0|            0|  0.00%|        self.streamwriter = streamwriter
   103|         0|            0|            0|  0.00%|        self.streamreader = streamreader
   104|         0|            0|            0|  0.00%|        if _is_text_encoding is not None:
   105|         0|            0|            0|  0.00%|            self._is_text_encoding = _is_text_encoding
   106|         0|            0|            0|  0.00%|        return self
   107|         0|            0|            0|  0.00%|
   108|         0|            0|            0|  0.00%|    def __repr__(self):
   109|         0|            0|            0|  0.00%|        return "<%s.%s object for encoding %s at %#x>" % \
   110|         0|            0|            0|  0.00%|                (self.__class__.__module__, self.__class__.__qualname__,
   111|         0|            0|            0|  0.00%|                 self.name, id(self))
   112|         0|            0|            0|  0.00%|
   113|         0|            0|            0|  0.00%|class Codec:
   114|         0|            0|            0|  0.00%|
   115|         0|            0|            0|  0.00%|    """ Defines the interface for stateless encoders/decoders.
   116|         0|            0|            0|  0.00%|
   117|         0|            0|            0|  0.00%|        The .encode()/.decode() methods may use different error
   118|         0|            0|            0|  0.00%|        handling schemes by providing the errors argument. These
   119|         0|            0|            0|  0.00%|        string values are predefined:
   120|         0|            0|            0|  0.00%|
   121|         0|            0|            0|  0.00%|         'strict' - raise a ValueError error (or a subclass)
   122|         0|            0|            0|  0.00%|         'ignore' - ignore the character and continue with the next
   123|         0|            0|            0|  0.00%|         'replace' - replace with a suitable replacement character;
   124|         0|            0|            0|  0.00%|                    Python will use the official U+FFFD REPLACEMENT
   125|         0|            0|            0|  0.00%|                    CHARACTER for the builtin Unicode codecs on
   126|         0|            0|            0|  0.00%|                    decoding and '?' on encoding.
   127|         0|            0|            0|  0.00%|         'surrogateescape' - replace with private code points U+DCnn.
   128|         0|            0|            0|  0.00%|         'xmlcharrefreplace' - Replace with the appropriate XML
   129|         0|            0|            0|  0.00%|                               character reference (only for encoding).
   130|         0|            0|            0|  0.00%|         'backslashreplace'  - Replace with backslashed escape sequences.
   131|         0|            0|            0|  0.00%|         'namereplace'       - Replace with \\N{...} escape sequences
   132|         0|            0|            0|  0.00%|                               (only for encoding).
   133|         0|            0|            0|  0.00%|
   134|         0|            0|            0|  0.00%|        The set of allowed values can be extended via register_error.
   135|         0|            0|            0|  0.00%|
   136|         0|            0|            0|  0.00%|    """
   137|         0|            0|            0|  0.00%|    def encode(self, input, errors='strict'):
   138|         0|            0|            0|  0.00%|
   139|         0|            0|            0|  0.00%|        """ Encodes the object input and returns a tuple (output
   140|         0|            0|            0|  0.00%|            object, length consumed).
   141|         0|            0|            0|  0.00%|
   142|         0|            0|            0|  0.00%|            errors defines the error handling to apply. It defaults to
   143|         0|            0|            0|  0.00%|            'strict' handling.
   144|         0|            0|            0|  0.00%|
   145|         0|            0|            0|  0.00%|            The method may not store state in the Codec instance. Use
   146|         0|            0|            0|  0.00%|            StreamWriter for codecs which have to keep state in order to
   147|         0|            0|            0|  0.00%|            make encoding efficient.
   148|         0|            0|            0|  0.00%|
   149|         0|            0|            0|  0.00%|            The encoder must be able to handle zero length input and
   150|         0|            0|            0|  0.00%|            return an empty object of the output object type in this
   151|         0|            0|            0|  0.00%|            situation.
   152|         0|            0|            0|  0.00%|
   153|         0|            0|            0|  0.00%|        """
   154|         0|            0|            0|  0.00%|        raise NotImplementedError
   155|         0|            0|            0|  0.00%|
   156|         0|            0|            0|  0.00%|    def decode(self, input, errors='strict'):
   157|         0|            0|            0|  0.00%|
   158|         0|            0|            0|  0.00%|        """ Decodes the object input and returns a tuple (output
   159|         0|            0|            0|  0.00%|            object, length consumed).
   160|         0|            0|            0|  0.00%|
   161|         0|            0|            0|  0.00%|            input must be an object which provides the bf_getreadbuf
   162|         0|            0|            0|  0.00%|            buffer slot. Python strings, buffer objects and memory
   163|         0|            0|            0|  0.00%|            mapped files are examples of objects providing this slot.
   164|         0|            0|            0|  0.00%|
   165|         0|            0|            0|  0.00%|            errors defines the error handling to apply. It defaults to
   166|         0|            0|            0|  0.00%|            'strict' handling.
   167|         0|            0|            0|  0.00%|
   168|         0|            0|            0|  0.00%|            The method may not store state in the Codec instance. Use
   169|         0|            0|            0|  0.00%|            StreamReader for codecs which have to keep state in order to
   170|         0|            0|            0|  0.00%|            make decoding efficient.
   171|         0|            0|            0|  0.00%|
   172|         0|            0|            0|  0.00%|            The decoder must be able to handle zero length input and
   173|         0|            0|            0|  0.00%|            return an empty object of the output object type in this
   174|         0|            0|            0|  0.00%|            situation.
   175|         0|            0|            0|  0.00%|
   176|         0|            0|            0|  0.00%|        """
   177|         0|            0|            0|  0.00%|        raise NotImplementedError
   178|         0|            0|            0|  0.00%|
   179|         0|            0|            0|  0.00%|class IncrementalEncoder(object):
   180|         0|            0|            0|  0.00%|    """
   181|         0|            0|            0|  0.00%|    An IncrementalEncoder encodes an input in multiple steps. The input can
   182|         0|            0|            0|  0.00%|    be passed piece by piece to the encode() method. The IncrementalEncoder
   183|         0|            0|            0|  0.00%|    remembers the state of the encoding process between calls to encode().
   184|         0|            0|            0|  0.00%|    """
   185|         0|            0|            0|  0.00%|    def __init__(self, errors='strict'):
   186|         0|            0|            0|  0.00%|        """
   187|         0|            0|            0|  0.00%|        Creates an IncrementalEncoder instance.
   188|         0|            0|            0|  0.00%|
   189|         0|            0|            0|  0.00%|        The IncrementalEncoder may use different error handling schemes by
   190|         0|            0|            0|  0.00%|        providing the errors keyword argument. See the module docstring
   191|         0|            0|            0|  0.00%|        for a list of possible values.
   192|         0|            0|            0|  0.00%|        """
   193|         0|            0|            0|  0.00%|        self.errors = errors
   194|         0|            0|            0|  0.00%|        self.buffer = ""
   195|         0|            0|            0|  0.00%|
   196|         0|            0|            0|  0.00%|    def encode(self, input, final=False):
   197|         0|            0|            0|  0.00%|        """
   198|         0|            0|            0|  0.00%|        Encodes input and returns the resulting object.
   199|         0|            0|            0|  0.00%|        """
   200|         0|            0|            0|  0.00%|        raise NotImplementedError
   201|         0|            0|            0|  0.00%|
   202|         0|            0|            0|  0.00%|    def reset(self):
   203|         0|            0|            0|  0.00%|        """
   204|         0|            0|            0|  0.00%|        Resets the encoder to the initial state.
   205|         0|            0|            0|  0.00%|        """
   206|         0|            0|            0|  0.00%|
   207|         0|            0|            0|  0.00%|    def getstate(self):
   208|         0|            0|            0|  0.00%|        """
   209|         0|            0|            0|  0.00%|        Return the current state of the encoder.
   210|         0|            0|            0|  0.00%|        """
   211|         0|            0|            0|  0.00%|        return 0
   212|         0|            0|            0|  0.00%|
   213|         0|            0|            0|  0.00%|    def setstate(self, state):
   214|         0|            0|            0|  0.00%|        """
   215|         0|            0|            0|  0.00%|        Set the current state of the encoder. state must have been
   216|         0|            0|            0|  0.00%|        returned by getstate().
   217|         0|            0|            0|  0.00%|        """
   218|         0|            0|            0|  0.00%|
   219|         0|            0|            0|  0.00%|class BufferedIncrementalEncoder(IncrementalEncoder):
   220|         0|            0|            0|  0.00%|    """
   221|         0|            0|            0|  0.00%|    This subclass of IncrementalEncoder can be used as the baseclass for an
   222|         0|            0|            0|  0.00%|    incremental encoder if the encoder must keep some of the output in a
   223|         0|            0|            0|  0.00%|    buffer between calls to encode().
   224|         0|            0|            0|  0.00%|    """
   225|         0|            0|            0|  0.00%|    def __init__(self, errors='strict'):
   226|         0|            0|            0|  0.00%|        IncrementalEncoder.__init__(self, errors)
   227|         0|            0|            0|  0.00%|        # unencoded input that is kept between calls to encode()
   228|         0|            0|            0|  0.00%|        self.buffer = ""
   229|         0|            0|            0|  0.00%|
   230|         0|            0|            0|  0.00%|    def _buffer_encode(self, input, errors, final):
   231|         0|            0|            0|  0.00%|        # Overwrite this method in subclasses: It must encode input
   232|         0|            0|            0|  0.00%|        # and return an (output, length consumed) tuple
   233|         0|            0|            0|  0.00%|        raise NotImplementedError
   234|         0|            0|            0|  0.00%|
   235|         0|            0|            0|  0.00%|    def encode(self, input, final=False):
   236|         0|            0|            0|  0.00%|        # encode input (taking the buffer into account)
   237|         0|            0|            0|  0.00%|        data = self.buffer + input
   238|         0|            0|            0|  0.00%|        (result, consumed) = self._buffer_encode(data, self.errors, final)
   239|         0|            0|            0|  0.00%|        # keep unencoded input until the next call
   240|         0|            0|            0|  0.00%|        self.buffer = data[consumed:]
   241|         0|            0|            0|  0.00%|        return result
   242|         0|            0|            0|  0.00%|
   243|         0|            0|            0|  0.00%|    def reset(self):
   244|         0|            0|            0|  0.00%|        IncrementalEncoder.reset(self)
   245|         0|            0|            0|  0.00%|        self.buffer = ""
   246|         0|            0|            0|  0.00%|
   247|         0|            0|            0|  0.00%|    def getstate(self):
   248|         0|            0|            0|  0.00%|        return self.buffer or 0
   249|         0|            0|            0|  0.00%|
   250|         0|            0|            0|  0.00%|    def setstate(self, state):
   251|         0|            0|            0|  0.00%|        self.buffer = state or ""
   252|         0|            0|            0|  0.00%|
   253|         0|            0|            0|  0.00%|class IncrementalDecoder(object):
   254|         0|            0|            0|  0.00%|    """
   255|         0|            0|            0|  0.00%|    An IncrementalDecoder decodes an input in multiple steps. The input can
   256|         0|            0|            0|  0.00%|    be passed piece by piece to the decode() method. The IncrementalDecoder
   257|         0|            0|            0|  0.00%|    remembers the state of the decoding process between calls to decode().
   258|         0|            0|            0|  0.00%|    """
   259|         1|            0|            0|  0.00%|    def __init__(self, errors='strict'):
   260|         0|            0|            0|  0.00%|        """
   261|         0|            0|            0|  0.00%|        Create an IncrementalDecoder instance.
   262|         0|            0|            0|  0.00%|
   263|         0|            0|            0|  0.00%|        The IncrementalDecoder may use different error handling schemes by
   264|         0|            0|            0|  0.00%|        providing the errors keyword argument. See the module docstring
   265|         0|            0|            0|  0.00%|        for a list of possible values.
   266|         0|            0|            0|  0.00%|        """
   267|         1|            0|            0|  0.00%|        self.errors = errors
   268|         0|            0|            0|  0.00%|
   269|         0|            0|            0|  0.00%|    def decode(self, input, final=False):
   270|         0|            0|            0|  0.00%|        """
   271|         0|            0|            0|  0.00%|        Decode input and returns the resulting object.
   272|         0|            0|            0|  0.00%|        """
   273|         0|            0|            0|  0.00%|        raise NotImplementedError
   274|         0|            0|            0|  0.00%|
   275|         0|            0|            0|  0.00%|    def reset(self):
   276|         0|            0|            0|  0.00%|        """
   277|         0|            0|            0|  0.00%|        Reset the decoder to the initial state.
   278|         0|            0|            0|  0.00%|        """
   279|         0|            0|            0|  0.00%|
   280|         6|            0|            0|  0.00%|    def getstate(self):
   281|         0|            0|            0|  0.00%|        """
   282|         0|            0|            0|  0.00%|        Return the current state of the decoder.
   283|         0|            0|            0|  0.00%|
   284|         0|            0|            0|  0.00%|        This must be a (buffered_input, additional_state_info) tuple.
   285|         0|            0|            0|  0.00%|        buffered_input must be a bytes object containing bytes that
   286|         0|            0|            0|  0.00%|        were passed to decode() that have not yet been converted.
   287|         0|            0|            0|  0.00%|        additional_state_info must be a non-negative integer
   288|         0|            0|            0|  0.00%|        representing the state of the decoder WITHOUT yet having
   289|         0|            0|            0|  0.00%|        processed the contents of buffered_input.  In the initial state
   290|         0|            0|            0|  0.00%|        and after reset(), getstate() must return (b"", 0).
   291|         0|            0|            0|  0.00%|        """
   292|         6|            0|            0|  0.00%|        return (b"", 0)
   293|         0|            0|            0|  0.00%|
   294|         0|            0|            0|  0.00%|    def setstate(self, state):
   295|         0|            0|            0|  0.00%|        """
   296|         0|            0|            0|  0.00%|        Set the current state of the decoder.
   297|         0|            0|            0|  0.00%|
   298|         0|            0|            0|  0.00%|        state must have been returned by getstate().  The effect of
   299|         0|            0|            0|  0.00%|        setstate((b"", 0)) must be equivalent to reset().
   300|         0|            0|            0|  0.00%|        """
   301|         0|            0|            0|  0.00%|
   302|         0|            0|            0|  0.00%|class BufferedIncrementalDecoder(IncrementalDecoder):
   303|         0|            0|            0|  0.00%|    """
   304|         0|            0|            0|  0.00%|    This subclass of IncrementalDecoder can be used as the baseclass for an
   305|         0|            0|            0|  0.00%|    incremental decoder if the decoder must be able to handle incomplete
   306|         0|            0|            0|  0.00%|    byte sequences.
   307|         0|            0|            0|  0.00%|    """
   308|         0|            0|            0|  0.00%|    def __init__(self, errors='strict'):
   309|         0|            0|            0|  0.00%|        IncrementalDecoder.__init__(self, errors)
   310|         0|            0|            0|  0.00%|        # undecoded input that is kept between calls to decode()
   311|         0|            0|            0|  0.00%|        self.buffer = b""
   312|         0|            0|            0|  0.00%|
   313|         0|            0|            0|  0.00%|    def _buffer_decode(self, input, errors, final):
   314|         0|            0|            0|  0.00%|        # Overwrite this method in subclasses: It must decode input
   315|         0|            0|            0|  0.00%|        # and return an (output, length consumed) tuple
   316|         0|            0|            0|  0.00%|        raise NotImplementedError
   317|         0|            0|            0|  0.00%|
   318|         0|            0|            0|  0.00%|    def decode(self, input, final=False):
   319|         0|            0|            0|  0.00%|        # decode input (taking the buffer into account)
   320|         0|            0|            0|  0.00%|        data = self.buffer + input
   321|         0|            0|            0|  0.00%|        (result, consumed) = self._buffer_decode(data, self.errors, final)
   322|         0|            0|            0|  0.00%|        # keep undecoded input until the next call
   323|         0|            0|            0|  0.00%|        self.buffer = data[consumed:]
   324|         0|            0|            0|  0.00%|        return result
   325|         0|            0|            0|  0.00%|
   326|         0|            0|            0|  0.00%|    def reset(self):
   327|         0|            0|            0|  0.00%|        IncrementalDecoder.reset(self)
   328|         0|            0|            0|  0.00%|        self.buffer = b""
   329|         0|            0|            0|  0.00%|
   330|         0|            0|            0|  0.00%|    def getstate(self):
   331|         0|            0|            0|  0.00%|        # additional state info is always 0
   332|         0|            0|            0|  0.00%|        return (self.buffer, 0)
   333|         0|            0|            0|  0.00%|
   334|         0|            0|            0|  0.00%|    def setstate(self, state):
   335|         0|            0|            0|  0.00%|        # ignore additional state info
   336|         0|            0|            0|  0.00%|        self.buffer = state[0]
   337|         0|            0|            0|  0.00%|
   338|         0|            0|            0|  0.00%|#
   339|         0|            0|            0|  0.00%|# The StreamWriter and StreamReader class provide generic working
   340|         0|            0|            0|  0.00%|# interfaces which can be used to implement new encoding submodules
   341|         0|            0|            0|  0.00%|# very easily. See encodings/utf_8.py for an example on how this is
   342|         0|            0|            0|  0.00%|# done.
   343|         0|            0|            0|  0.00%|#
   344|         0|            0|            0|  0.00%|
   345|         0|            0|            0|  0.00%|class StreamWriter(Codec):
   346|         0|            0|            0|  0.00%|
   347|         0|            0|            0|  0.00%|    def __init__(self, stream, errors='strict'):
   348|         0|            0|            0|  0.00%|
